cfrac       mi3   04.50 3520 4.50 0.00 0 430
cfrac       je    04.63 5656 4.62 0.00 0 483
espresso    mi3   04.91 5312 4.90 0.00 0 991
espresso    je    04.93 6068 4.90 0.02 0 599
barnes      mi3   02.68 58852 2.65 0.03 0 16640
barnes      je    02.67 61064 2.62 0.04 0 16713
larsonN-sized mi3   10.735 59796 19.75 0.07 0 21071
larsonN-sized je    13.307 44976 19.58 0.23 0 42708
alloc-test1 mi3   03.50 13780 3.49 0.00 0 2609
alloc-test1 je    03.47 13268 3.46 0.01 0 2520
alloc-testN mi3   03.32 14548 12.95 0.02 0 2857
alloc-testN je    03.30 14036 13.04 0.01 0 2787
xmalloc-testN mi3   1.192 66536 17.35 1.32 0 16679
xmalloc-testN je    11.108 51756 18.78 0.44 0 20648
malloc-large mi3   05.12 597220 4.64 0.48 0 171846
malloc-large je    18.18 446908 2.26 15.91 0 7510835
mstressN    mi3   00.28 98916 0.54 0.03 0 24457
mstressN    je    00.61 51148 0.69 0.62 0 268796
rptestN     mi3   .206 20920 0.83 0.32 0 5480
rptestN     je    .392 24016 1.02 0.39 0 10713
glibc-simple mi3   02.54 2204 2.54 0.00 0 262
glibc-simple je    02.91 4860 2.91 0.00 0 383
glibc-thread mi3   3.097 3480 7.96 0.00 0 601
glibc-thread je    3.010 5964 7.97 0.00 0 704
mleak10     mi3   00.21 2528 0.04 0.33 0 7268
mleak10     je    00.45 5220 0.08 1.09 0 30903
mleak100    mi3   02.25 2592 0.55 3.28 0 70273
mleak100    je    04.81 5312 0.89 11.30 0 305471
cfrac       mi3   04.48 3444 4.47 0.00 0 427
cfrac       je    04.44 5656 4.43 0.00 0 483
espresso    mi3   04.90 5248 4.87 0.02 0 975
espresso    je    05.04 6068 5.04 0.00 0 606
barnes      mi3   02.72 58860 2.69 0.03 0 16641
barnes      je    02.70 61068 2.66 0.04 0 16715
larsonN-sized mi3   10.914 61504 19.73 0.09 0 20963
larsonN-sized je    12.719 44912 19.63 0.21 0 42504
alloc-test1 mi3   03.58 13784 3.57 0.00 0 2608
alloc-test1 je    03.53 13232 3.52 0.00 0 2520
alloc-testN mi3   03.36 14548 13.04 0.01 0 2858
alloc-testN je    03.32 13848 13.09 0.02 0 2788
xmalloc-testN mi3   1.185 66536 17.39 1.34 0 18691
xmalloc-testN je    11.161 52684 18.45 0.50 0 17955
malloc-large mi3   03.40 593140 2.97 0.43 0 200712
malloc-large je    17.05 446880 1.59 15.46 0 7510832
mstressN    mi3   00.28 127972 0.49 0.08 0 31690
mstressN    je    00.59 50076 0.62 0.66 0 268194
rptestN     mi3   .298 27108 0.86 0.36 0 8683
rptestN     je    .451 22480 0.96 0.46 0 9284
glibc-simple mi3   02.56 2144 2.56 0.00 0 264
glibc-simple je    02.84 5080 2.84 0.00 0 398
glibc-thread mi3   2.988 3424 7.96 0.00 0 600
glibc-thread je    3.122 5780 7.94 0.01 0 705
mleak10     mi3   00.23 2520 0.05 0.35 0 7268
mleak10     je    00.48 5368 0.12 1.12 0 30929
mleak100    mi3   02.31 2596 0.55 3.49 0 70273
mleak100    je    04.82 5500 1.09 11.05 0 305468
cfrac       mi3   04.40 3484 4.39 0.00 0 430
cfrac       je    04.55 5648 4.55 0.00 0 481
espresso    mi3   05.01 5236 5.00 0.01 0 1016
espresso    je    05.06 6060 5.05 0.01 0 636
barnes      mi3   02.71 58884 2.66 0.04 0 16642
barnes      je    02.72 61068 2.69 0.03 0 16715
larsonN-sized mi3   12.702 61336 19.69 0.10 0 18676
larsonN-sized je    12.136 45288 19.56 0.28 0 43410
alloc-test1 mi3   03.58 13784 3.56 0.02 0 2607
alloc-test1 je    03.54 13212 3.54 0.00 0 2520
alloc-testN mi3   03.52 14404 13.19 0.00 0 2858
alloc-testN je    03.52 13884 13.36 0.03 0 2784
xmalloc-testN mi3   1.182 66536 17.41 1.36 0 18128
xmalloc-testN je    10.182 49552 18.33 0.59 0 16810
malloc-large mi3   03.45 593100 3.00 0.44 0 210598
malloc-large je    17.50 446908 1.63 15.86 0 7510820
mstressN    mi3   00.27 102244 0.50 0.04 0 25281
mstressN    je    00.60 50132 0.66 0.63 0 268240
rptestN     mi3   .237 21624 0.81 0.48 0 5109
rptestN     je    .309 24144 0.82 0.48 0 10040
glibc-simple mi3   02.49 2144 2.49 0.00 0 263
glibc-simple je    02.85 4912 2.85 0.00 0 382
glibc-thread mi3   2.990 3548 7.90 0.00 0 596
glibc-thread je    3.032 5920 7.96 0.00 0 702
mleak10     mi3   00.24 2576 0.05 0.37 0 7265
mleak10     je    00.50 5312 0.12 1.16 0 30899
mleak100    mi3   02.49 2624 0.62 3.71 0 70268
mleak100    je    05.05 5384 1.09 11.50 0 305472
